Nation,Pots
Belgium,1
France,1
England,1
Portugal,1
Spain,1
Italy,1
Croatia,1
Denmark,1
Germany,1
Netherlands,1
Switzerland,2
Wales,2
Poland,2
Sweden,2
Austria,2
Ukraine,2
Serbia,2
Turkey,2
Slovakia,2
Romania,2
Russia,3
Hungary,3
Republic of Ireland,3
Czech Republic,3
Norway,3
Northern Ireland,3
Iceland,3
Scotland,3
Greece,3
Finland,4
Bosnia,4
Slovenia,4
Montenegro,4
Albania,4
Bulgaria,4
Israel,4
Belarus,4
Georgia,4
Luxembourg,4
Armenia,5
Cyprus,5
Faroe Islands,5
Azerbaijan,5
Estonia,5